"","X","bag_n","rhodo_acer","date_dep","date_coll","stream","percent_afdm_rem_C","percent_afdm_rem_F","ln_percent_afdm_rem_C","ln_percent_afdm_rem_F","days_in_record","ln_percent_afdm_start","abs_val_k_coarse","abs_val_k_fine","abs_val_k_shred"
"385",386,97,"R",2018-01-11,2018-03-08,"WS01",58.15061655,92.19260808,"4.063036482",4.523879955,56,4.605170186,0.009680959,0.001451611,0.008229348
"386",389,98,"R",2018-01-11,2018-03-08,"WS01",73.32710661,92.50579557,"4.294930344",4.527271297,56,4.605170186,0.005539997,0.001391052,0.004148946
"387",392,99,"R",2018-01-11,2018-03-08,"WS01",69.50338697,88.11608388,"4.241375485",4.47865508,56,4.605170186,0.006496334,0.002259198,0.004237136
"388",395,100,"R",2018-01-11,2018-03-08,"WS01",75.00803733,88.65601579,"4.317595272",4.48476389,56,4.605170186,0.005135266,0.002150112,0.002985154
"389",398,101,"R",2018-01-11,2018-03-08,"WS13",85.40577059,92.51483905,"4.44741367",4.527369054,56,4.605170186,0.002817081,0.001389306,0.001427775
"390",401,102,"R",2018-01-11,2018-03-08,"WS13",74.42947681,90.39304239,"4.309852057",4.5041673,56,4.605170186,0.005273538,0.001803623,0.003469915
"391",404,103,"R",2018-01-11,2018-03-08,"WS13",84.05974002,94.54176823,"4.431527737",4.549041729,56,4.605170186,0.003100758,0.001002294,0.002098464
"392",407,104,"R",2018-01-11,2018-03-08,"WS13",75.48880977,83.35639317,"4.32398443",4.423125309,56,4.605170186,0.005021174,0.003250801,0.001770373
"393",410,105,"R",2018-01-11,2018-03-08,"WS08",44.27661776,NA,"3.790456722",NA,56,4.605170186,0.014548455,NA,NA
"394",413,106,"R",2018-01-11,2018-03-08,"WS08",5.24509609,84.77034477,"1.657293562",4.439945774,56,4.605170186,0.052640654,0.002950436,0.049690218
"395",416,107,"R",2018-01-11,2018-03-08,"WS08",76.75487996,85.29362964,"4.340616967",4.44609977,56,4.605170186,0.004724165,0.002840543,0.001883621
"396",419,108,"R",2018-01-11,2018-03-08,"WS08",23.15667878,85.94761044,"3.142283239",4.45373793,56,4.605170186,0.026122981,0.002704147,0.023418834
"397",422,109,"R",2018-01-11,2018-03-08,"WS02",83.54877103,95.19311458,"4.425430546",4.555907613,56,4.605170186,0.003209636,0.000879689,0.002329948
"398",425,110,"R",2018-01-11,2018-03-08,"WS02",85.80598863,95.10724314,"4.452088802",4.55500513,56,4.605170186,0.002733596,0.000895805,0.001837792
"399",428,111,"R",2018-01-11,2018-03-08,"WS02",83.35281933,95.29176834,"4.423082434",4.556943431,56,4.605170186,0.003251567,0.000861192,0.002390375
"400",431,112,"R",2018-01-11,2018-03-08,"WS02",74.49785316,94.51724747,"4.310770308",4.548782331,56,4.605170186,0.005257141,0.001006926,0.004250215
"401",434,113,"R",2018-01-11,2018-03-08,"WS07",65.20903343,88.8832576,"4.177598009",4.487323796,56,4.605170186,0.007635217,0.0021044,0.005530818
"402",437,114,"R",2018-01-11,2018-03-08,"WS07",75.78393862,85.93307753,"4.327886379",4.453568825,56,4.605170186,0.004951497,0.002707167,0.002244329
"403",440,115,"R",2018-01-11,2018-03-08,"WS07",62.40088107,92.68131558,"4.133579395",4.529166894,56,4.605170186,0.008421264,0.001357202,0.007064062
"404",443,116,"R",2018-01-11,2018-03-08,"WS07",63.90829014,89.32505797,"4.157449089",4.492282053,56,4.605170186,0.00799502,0.00201586,0.00597916
"405",446,117,"R",2018-01-11,2018-03-08,"WS32",91.18355591,93.97286707,"4.512874573",4.543006092,56,4.605170186,0.001648136,0.001110073,0.000538063
"406",449,118,"R",2018-01-11,2018-03-08,"WS32",82.91235263,91.22896898,"4.417784057",4.513372489,56,4.605170186,0.003346181,0.001639245,0.001706936
"407",452,119,"R",2018-01-11,2018-03-08,"WS32",87.50749035,92.79027205,"4.471724394",4.530341807,56,4.605170186,0.002382961,0.001336221,0.00104674
"408",455,120,"R",2018-01-11,2018-03-08,"WS32",87.99284147,93.14100649,"4.477255464",4.534114544,56,4.605170186,0.002284191,0.001268851,0.001015341
"409",458,121,"R",2018-01-11,2018-03-08,"WS31",84.21690682,93.21406381,"4.433395695",4.53489861,56,4.605170186,0.003067402,0.00125485,0.001812552
"410",461,122,"R",2018-01-11,2018-03-08,"WS31",86.68620243,93.48521201,"4.46229473",4.537803264,56,4.605170186,0.002551347,0.001202981,0.001348367
"411",464,123,"R",2018-01-11,2018-03-08,"WS31",84.97586406,93.31108631,"4.442367264",4.535938925,56,4.605170186,0.002907195,0.001236273,0.001670923
"412",467,124,"R",2018-01-11,2018-03-08,"WS31",82.14861422,94.84038386,"4.408529975",4.552195309,56,4.605170186,0.003511432,0.00094598,0.002565452
"413",470,125,"R",2018-01-11,2018-03-08,"WS06",84.65892042,87.51269271,"4.438630483",4.471783842,56,4.605170186,0.002973923,0.002381899,0.000592024
"414",473,126,"R",2018-01-11,2018-03-08,"WS06",82.88220958,90.60162849,"4.417420438",4.506472187,56,4.605170186,0.003352674,0.001762464,0.00159021
"415",476,127,"R",2018-01-11,2018-03-08,"WS06",80.60239205,88.87299908,"4.389528327",4.487208374,56,4.605170186,0.003850747,0.002106461,0.001744287
"416",479,128,"R",2018-01-11,2018-03-08,"WS06",NA,85.955944,NA,4.453834886,56,4.605170186,NA,0.002702416,NA
"417",482,129,"R",2018-01-11,2018-03-08,"WS36",69.45082193,84.15798678,"4.240618904",4.432695827,56,4.605170186,0.006509844,0.003079899,0.003429945
"418",485,130,"R",2018-01-11,2018-03-08,"WS36",79.77044638,92.09391207,"4.37915309",4.52280884,56,4.605170186,0.00403602,0.001470738,0.002565281
"419",488,131,"R",2018-01-11,2018-03-08,"WS36",70.54622483,84.7143345,"4.256268166",4.439284826,56,4.605170186,0.006230393,0.002962239,0.003268155
"420",491,132,"R",2018-01-11,2018-03-08,"WS36",81.1279845,NA,"4.396027963",NA,56,4.605170186,0.003734683,NA,NA
"421",494,133,"R",2018-01-11,2018-03-08,"WS14",87.61430183,92.19210981,"4.472944248",4.52387455,56,4.605170186,0.002361177,0.001451708,0.00090947
"422",497,134,"R",2018-01-11,2018-03-08,"WS14",86.27440107,93.23847909,"4.457532927",4.535160502,56,4.605170186,0.00263638,0.001250173,0.001386207
"423",500,135,"R",2018-01-11,2018-03-08,"WS14",81.96957517,90.67305671,"4.406348144",4.507260254,56,4.605170186,0.003550394,0.001748392,0.001802002
"424",503,136,"R",2018-01-11,2018-03-08,"WS14",81.37661952,92.84406386,"4.399088002",4.530921353,56,4.605170186,0.003680039,0.001325872,0.002354167
"425",506,137,"R",2018-01-11,2018-03-08,"WS18",85.76113981,83.7095428,"4.451565988",4.427352983,56,4.605170186,0.002742932,0.003175307,-0.000432375
"426",509,138,"R",2018-01-11,2018-03-08,"WS18",82.26713557,93.41984977,"4.409971703",4.537103847,56,4.605170186,0.003485687,0.00121547,0.002270217
"427",512,139,"R",2018-01-11,2018-03-08,"WS18",82.60195571,92.57540148,"4.414033357",4.528023464,56,4.605170186,0.003413158,0.00137762,0.002035538
"428",515,140,"R",2018-01-11,2018-03-08,"WS18",78.25356074,92.38233438,"4.359954333",4.525935774,56,4.605170186,0.004378855,0.0014149,0.002963954
"429",518,141,"R",2018-01-11,2018-03-08,"WS27",86.58180242,90.45360785,"4.46108966",4.504837099,56,4.605170186,0.002572867,0.001791662,0.000781204
"430",521,142,"R",2018-01-11,2018-03-08,"WS27",82.833321,92.34708798,"4.416830408",4.525554174,56,4.605170186,0.00336321,0.001421715,0.001941496
"431",524,143,"R",2018-01-11,2018-03-08,"WS27",83.6807059,94.22375003,"4.427008436",4.545672273,56,4.605170186,0.00318146,0.001062463,0.002118997
"432",527,144,"R",2018-01-11,2018-03-08,"WS27",84.50141705,92.38045628,"4.436768304",4.525915444,56,4.605170186,0.003007176,0.001415263,0.001591913
"433",530,145,"A",2018-01-11,2018-03-08,"WS31",56.08731384,56.3772717,"4.026909652",4.032066093,56,4.605170186,0.010326081,0.010234002,9.21e-05
