bag.number,fine.coarse,start.wt.g,final.wt.g,date.deployed,date.collected,days.deployed,stream,watershed.area.units.unknown,notes
1,coarse,7.062,,2017-12-11,,,WS55,,
2,coarse,8.916,,2017-12-11,,,WS55,,
3,coarse,9.043,,2017-12-11,,,WS55,,
4,coarse,8.703,,2017-12-11,,,WS55,,
5,coarse,9.943,,2017-12-11,,,WS55,,
6,coarse,9.225,,2017-12-11,,,WS55,,
7,coarse,7.686,,2017-12-11,,,WS55,,
8,coarse,8.075,,2017-12-11,,,WS55,,
9,coarse,8.35,,2017-12-11,,,WS55,,
10,coarse,8.684,,2017-12-11,,,WS55,,
11,coarse,8.123,,2017-12-11,,,WS55,,
12,coarse,7.551,,2017-12-11,,,WS55,,
13,coarse,7.969,,2017-12-11,,,WS55,,
14,coarse,8.237,,2017-12-11,,,WS55,,
15,coarse,9.329,,2017-12-11,,,WS55,,
16,coarse,7.304,,2017-12-11,,,WS55,,
17,coarse,7.646,6.2453,2017-12-18,2018-06-06,170,WS32,404213.622,
18,coarse,9.25,7.836,2017-12-18,2018-06-06,170,WS32,404213.622,
19,coarse,8.983,7.169,2017-12-18,2018-06-06,170,WS32,404213.622,
20,coarse,7.307,5.9492,2017-12-18,2018-06-06,170,WS32,404213.622,
21,coarse,9.3,7.7623,2017-12-18,2018-06-06,170,WS31,338369.799,
22,coarse,8.728,7.3239,2017-12-18,2018-06-06,170,WS31,338369.799,
23,coarse,8.374,6.8319,2017-12-18,2018-06-06,170,WS31,338369.799,
24,coarse,8.067,6.9327,2017-12-18,2018-06-06,170,WS31,338369.799,
25,coarse,11.059,9.2449,2017-12-18,2018-05-06,139,WS27,384711.143,crumbled
26,coarse,9.393,7.8303,2017-12-18,2018-05-06,139,WS27,384711.143,
27,coarse,11.361,9.322,2017-12-18,2018-05-06,139,WS27,384711.143,
28,coarse,8.457,5.3809,2017-12-18,2018-05-06,139,WS27,384711.143,crumbled
29,coarse,11.009,8.1019,2017-12-18,2018-09-28,284,WS36,495990.57,
30,coarse,11.86,6.3716,2017-12-18,2018-09-28,284,WS36,495990.57,
31,coarse,10.745,6.7595,2017-12-18,2018-09-28,284,WS36,495990.57,
32,coarse,13.549,,2017-12-18,2018-09-28,284,WS36,495990.57,
33,coarse,13.349,11.5245,2017-12-11,2018-06-06,177,WS07,595106.72,
34,coarse,11.884,10.2899,2017-12-11,2018-06-06,177,WS07,595106.72,
35,coarse,7.997,6.58,2017-12-11,2018-06-06,177,WS07,595106.72,
36,coarse,8.606,6.95,2017-12-11,2018-06-06,177,WS07,595106.72,
37,coarse,10.839,8.6616,2017-12-11,2018-06-06,177,WS14,633053.896,
38,coarse,8.708,6.897,2017-12-11,2018-06-06,177,WS14,633053.896,crumbled
39,coarse,10.056,8.356,2017-12-11,2018-06-06,177,WS14,633053.896,crumbled
40,coarse,10.413,8.8379,2017-12-11,2018-06-06,177,WS14,633053.896,
41,coarse,10.279,7.5273,2017-12-11,2018-03-08,87,WS08,,
42,coarse,13.486,9.8111,2017-12-11,2018-03-08,87,WS08,,
43,coarse,12.038,,2017-12-11,,87,WS08,,
44,coarse,11.711,,2017-12-11,,87,WS08,,
45,coarse,12.19,10.83,2017-12-11,2018-06-06,177,WS02,121261.546,
46,coarse,14.172,12.0944,2017-12-11,2018-06-06,177,WS02,121261.546,
47,coarse,12.026,10.29,2017-12-11,2018-06-06,177,WS02,121261.546,
48,coarse,11.424,9.4998,2017-12-11,2018-06-06,177,WS02,121261.546,
49,coarse,12.898,11.1451,2017-12-11,2018-05-06,177,WS13,164208.543,
50,coarse,10.901,9.8422,2017-12-11,2018-05-06,177,WS13,164208.543,
51,coarse,13.424,11.6857,2017-12-11,2018-05-06,177,WS13,164208.543,
52,coarse,13.742,11.9425,2017-12-11,2018-05-06,177,WS13,164208.543,crumbled
53,coarse,12.682,11.0598,2017-12-11,2018-06-06,177,WS01,163124.235,
54,coarse,11.214,9.6104,2017-12-11,2018-06-06,177,WS01,163124.235,
55,coarse,8.937,7.6875,2017-12-11,2018-06-06,177,WS01,163124.235,
56,coarse,9.317,7.9095,2017-12-11,2018-06-06,177,WS01,163124.235,
1,fine,10.92,,2017-12-11,,,WS55,,
